radius,angle_scale,dist_scale,metrics_file,best_model,R2_Train,R2_Test,RMSE_Test,MAE_Test,KFold_CV_R2,KFold_CV_RMSE,KFold_CV_MAE,LOO_R2,LOO_RMSE,LOO_MAE
1.25,30.0,2.0,/home/hongyu/MD/1_partial/param_runs/run_r1p25_a30p0_d2p0/models/model_metrics.csv,Gradient Boosting,0.999999999294492,-667.1330811076427,13.90199244206192,13.901588899472545,0.6865302848145214,16.329226606826328,14.259097504451669,0.5869040973927477,18.745337538537616,17.90795588395625
1.25,40.0,1.0,/home/hongyu/MD/1_partial/param_runs/run_r1p25_a40p0_d1p0/models/model_metrics.csv,Gradient Boosting,0.999999999294492,-667.1330811076427,13.90199244206192,13.901588899472545,0.6865302848145214,16.329226606826328,14.259097504451669,0.5869040973927477,18.745337538537616,17.90795588395625
1.25,30.0,3.0,/home/hongyu/MD/1_partial/param_runs/run_r1p25_a30p0_d3p0/models/model_metrics.csv,Gradient Boosting,0.999999999294492,-667.1330811076427,13.90199244206192,13.901588899472545,0.6865302848145214,16.329226606826328,14.259097504451669,0.5869040973927477,18.745337538537616,17.90795588395625
1.25,40.0,3.0,/home/hongyu/MD/1_partial/param_runs/run_r1p25_a40p0_d3p0/models/model_metrics.csv,Gradient Boosting,0.999999999294492,-667.1330811076427,13.90199244206192,13.901588899472545,0.6865302848145214,16.329226606826328,14.259097504451669,0.5869040973927477,18.745337538537616,17.90795588395625
1.25,40.0,2.0,/home/hongyu/MD/1_partial/param_runs/run_r1p25_a40p0_d2p0/models/model_metrics.csv,Gradient Boosting,0.999999999294492,-667.1330811076427,13.90199244206192,13.901588899472545,0.6865302848145214,16.329226606826328,14.259097504451669,0.5869040973927477,18.745337538537616,17.90795588395625
1.5,20.0,1.0,/home/hongyu/MD/1_partial/param_runs/run_r1p5_a20p0_d1p0/models/model_metrics.csv,Gradient Boosting,0.999999999294492,-667.1330811076427,13.90199244206192,13.901588899472545,0.6450994578172305,17.374853551206176,16.99175142322861,0.5517706855342961,19.52620971579647,18.63792595721996
1.5,20.0,2.0,/home/hongyu/MD/1_partial/param_runs/run_r1p5_a20p0_d2p0/models/model_metrics.csv,Gradient Boosting,0.999999999294492,-667.1330811076427,13.90199244206192,13.901588899472545,0.6450994578172305,17.374853551206176,16.99175142322861,0.5517706855342961,19.52620971579647,18.63792595721996
1.5,20.0,3.0,/home/hongyu/MD/1_partial/param_runs/run_r1p5_a20p0_d3p0/models/model_metrics.csv,Gradient Boosting,0.999999999294492,-667.1330811076427,13.90199244206192,13.901588899472545,0.6450994578172305,17.374853551206176,16.99175142322861,0.5517706855342961,19.52620971579647,18.63792595721996
1.5,30.0,1.0,/home/hongyu/MD/1_partial/param_runs/run_r1p5_a30p0_d1p0/models/model_metrics.csv,Gradient Boosting,0.999999999294492,-667.1330811076427,13.90199244206192,13.901588899472545,0.6450994578172305,17.374853551206176,16.99175142322861,0.5517706855342961,19.52620971579647,18.63792595721996
1.5,30.0,3.0,/home/hongyu/MD/1_partial/param_runs/run_r1p5_a30p0_d3p0/models/model_metrics.csv,Gradient Boosting,0.999999999294492,-667.1330811076427,13.90199244206192,13.901588899472545,0.6450994578172305,17.374853551206176,16.99175142322861,0.5517706855342961,19.52620971579647,18.63792595721996
